,tp,tn,fp,fn,precision,recall,specificity,accuracy,f1_score,balanced_accuracy,num_feat_missing,imputed,dataset,source,scenario,random_state,metric
73,60,3,137,0,30.46,100.0,2.14,31.5,46.69,51.07,10,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Duration', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Housing_own', 'Housing_rent', 'Credit_amount', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Job_skilled employee or official', 'Job_unemployed or unskilled - non-resident', 'Job_unskilled - resident', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed'] imputed",rf_perf,German Credit,Scenario 1: standard,2024,f1 score
74,60,3,137,0,30.46,100.0,2.14,31.5,46.69,51.07,11,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Duration', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Housing_own', 'Housing_rent', 'Credit_amount', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Job_skilled employee or official', 'Job_unemployed or unskilled - non-resident', 'Job_unskilled - resident', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Installment_rate_in_percentage_of_disposable_income'] imputed",rf_perf,German Credit,Scenario 1: standard,2024,f1 score
75,60,3,137,0,30.46,100.0,2.14,31.5,46.69,51.07,12,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Duration', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Housing_own', 'Housing_rent', 'Credit_amount', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Job_skilled employee or official', 'Job_unemployed or unskilled - non-resident', 'Job_unskilled - resident', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Installment_rate_in_percentage_of_disposable_income', 'Personal_status_and_sex_male divorced or separated', 'Personal_status_and_sex_male married or widowed', 'Personal_status_and_sex_male single'] imputed",rf_perf,German Credit,Scenario 1: standard,2024,f1 score
76,60,2,138,0,30.3,100.0,1.43,31.0,46.51,50.71,13,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Duration', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Housing_own', 'Housing_rent', 'Credit_amount', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Job_skilled employee or official', 'Job_unemployed or unskilled - non-resident', 'Job_unskilled - resident', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Installment_rate_in_percentage_of_disposable_income', 'Personal_status_and_sex_male divorced or separated', 'Personal_status_and_sex_male married or widowed', 'Personal_status_and_sex_male single', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none'] imputed",rf_perf,German Credit,Scenario 1: standard,2024,f1 score
77,60,0,140,0,30.0,100.0,0.0,30.0,46.15,50.0,14,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Duration', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Housing_own', 'Housing_rent', 'Credit_amount', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Job_skilled employee or official', 'Job_unemployed or unskilled - non-resident', 'Job_unskilled - resident', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Installment_rate_in_percentage_of_disposable_income', 'Personal_status_and_sex_male divorced or separated', 'Personal_status_and_sex_male married or widowed', 'Personal_status_and_sex_male single', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Number_of_existing_credits_at_this_bank'] imputed",rf_perf,German Credit,Scenario 1: standard,2024,f1 score
78,60,0,140,0,30.0,100.0,0.0,30.0,46.15,50.0,15,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Duration', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Housing_own', 'Housing_rent', 'Credit_amount', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Job_skilled employee or official', 'Job_unemployed or unskilled - non-resident', 'Job_unskilled - resident', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Installment_rate_in_percentage_of_disposable_income', 'Personal_status_and_sex_male divorced or separated', 'Personal_status_and_sex_male married or widowed', 'Personal_status_and_sex_male single', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Number_of_existing_credits_at_this_bank', 'Foreign_worker_yes'] imputed",rf_perf,German Credit,Scenario 1: standard,2024,f1 score
79,60,0,140,0,30.0,100.0,0.0,30.0,46.15,50.0,16,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Duration', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Housing_own', 'Housing_rent', 'Credit_amount', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Job_skilled employee or official', 'Job_unemployed or unskilled - non-resident', 'Job_unskilled - resident', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Installment_rate_in_percentage_of_disposable_income', 'Personal_status_and_sex_male divorced or separated', 'Personal_status_and_sex_male married or widowed', 'Personal_status_and_sex_male single', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Number_of_existing_credits_at_this_bank', 'Foreign_worker_yes', 'Telephone_yes'] imputed",rf_perf,German Credit,Scenario 1: standard,2024,f1 score
80,60,0,140,0,30.0,100.0,0.0,30.0,46.15,50.0,17,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Duration', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Housing_own', 'Housing_rent', 'Credit_amount', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Job_skilled employee or official', 'Job_unemployed or unskilled - non-resident', 'Job_unskilled - resident', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Installment_rate_in_percentage_of_disposable_income', 'Personal_status_and_sex_male divorced or separated', 'Personal_status_and_sex_male married or widowed', 'Personal_status_and_sex_male single', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Number_of_existing_credits_at_this_bank', 'Foreign_worker_yes', 'Telephone_yes', 'Number_of_people_being_liable_to_provide_maintenance_for'] imputed",rf_perf,German Credit,Scenario 1: standard,2024,f1 score
81,60,0,140,0,30.0,100.0,0.0,30.0,46.15,50.0,18,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Duration', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Housing_own', 'Housing_rent', 'Credit_amount', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Job_skilled employee or official', 'Job_unemployed or unskilled - non-resident', 'Job_unskilled - resident', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Installment_rate_in_percentage_of_disposable_income', 'Personal_status_and_sex_male divorced or separated', 'Personal_status_and_sex_male married or widowed', 'Personal_status_and_sex_male single', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Number_of_existing_credits_at_this_bank', 'Foreign_worker_yes', 'Telephone_yes', 'Number_of_people_being_liable_to_provide_maintenance_for', 'Other_installment_plans_none', 'Other_installment_plans_stores'] imputed",rf_perf,German Credit,Scenario 1: standard,2024,f1 score
82,60,0,140,0,30.0,100.0,0.0,30.0,46.15,50.0,19,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Duration', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Housing_own', 'Housing_rent', 'Credit_amount', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Job_skilled employee or official', 'Job_unemployed or unskilled - non-resident', 'Job_unskilled - resident', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Installment_rate_in_percentage_of_disposable_income', 'Personal_status_and_sex_male divorced or separated', 'Personal_status_and_sex_male married or widowed', 'Personal_status_and_sex_male single', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Number_of_existing_credits_at_this_bank', 'Foreign_worker_yes', 'Telephone_yes', 'Number_of_people_being_liable_to_provide_maintenance_for', 'Other_installment_plans_none', 'Other_installment_plans_stores', 'Age'] imputed",rf_perf,German Credit,Scenario 1: standard,2024,f1 score
83,60,0,140,0,30.0,100.0,0.0,30.0,46.15,50.0,20,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Duration', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Housing_own', 'Housing_rent', 'Credit_amount', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Job_skilled employee or official', 'Job_unemployed or unskilled - non-resident', 'Job_unskilled - resident', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Installment_rate_in_percentage_of_disposable_income', 'Personal_status_and_sex_male divorced or separated', 'Personal_status_and_sex_male married or widowed', 'Personal_status_and_sex_male single', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Number_of_existing_credits_at_this_bank', 'Foreign_worker_yes', 'Telephone_yes', 'Number_of_people_being_liable_to_provide_maintenance_for', 'Other_installment_plans_none', 'Other_installment_plans_stores', 'Age', 'Present_residence_since'] imputed",rf_perf,German Credit,Scenario 1: standard,2024,f1 score
84,41,108,32,19,56.16,68.33,77.14,74.5,61.65,72.74,0,,gbt_perf,German Credit,Scenario 1: standard,2024,f1 score
85,45,91,49,15,47.87,75.0,65.0,68.0,58.44,70.0,1,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account'] imputed",gbt_perf,German Credit,Scenario 1: standard,2024,f1 score
86,35,97,43,25,44.87,58.33,69.29,66.0,50.72,63.81,2,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Credit_amount'] imputed",gbt_perf,German Credit,Scenario 1: standard,2024,f1 score
87,35,92,48,25,42.17,58.33,65.71,63.5,48.95,62.02,3,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Credit_amount', 'Duration'] imputed",gbt_perf,German Credit,Scenario 1: standard,2024,f1 score
88,34,92,48,26,41.46,56.67,65.71,63.0,47.89,61.19,4,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Credit_amount', 'Duration', 'Age'] imputed",gbt_perf,German Credit,Scenario 1: standard,2024,f1 score
89,37,93,47,23,44.05,61.67,66.43,65.0,51.39,64.05,5,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Credit_amount', 'Duration', 'Age', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining'] imputed",gbt_perf,German Credit,Scenario 1: standard,2024,f1 score
90,40,81,59,20,40.4,66.67,57.86,60.5,50.31,62.26,6,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Credit_amount', 'Duration', 'Age', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly'] imputed",gbt_perf,German Credit,Scenario 1: standard,2024,f1 score
91,48,62,78,12,38.1,80.0,44.29,55.0,51.61,62.14,7,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Credit_amount', 'Duration', 'Age', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed'] imputed",gbt_perf,German Credit,Scenario 1: standard,2024,f1 score
92,48,54,86,12,35.82,80.0,38.57,51.0,49.48,59.29,8,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Credit_amount', 'Duration', 'Age', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Present_residence_since'] imputed",gbt_perf,German Credit,Scenario 1: standard,2024,f1 score
93,59,9,131,1,31.05,98.33,6.43,34.0,47.2,52.38,9,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Credit_amount', 'Duration', 'Age', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Present_residence_since', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account'] imputed",gbt_perf,German Credit,Scenario 1: standard,2024,f1 score
94,59,9,131,1,31.05,98.33,6.43,34.0,47.2,52.38,10,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Credit_amount', 'Duration', 'Age', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Present_residence_since', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Other_installment_plans_none', 'Other_installment_plans_stores'] imputed",gbt_perf,German Credit,Scenario 1: standard,2024,f1 score
95,60,0,140,0,30.0,100.0,0.0,30.0,46.15,50.0,11,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Credit_amount', 'Duration', 'Age', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Present_residence_since', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Other_installment_plans_none', 'Other_installment_plans_stores', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none'] imputed",gbt_perf,German Credit,Scenario 1: standard,2024,f1 score
96,60,0,140,0,30.0,100.0,0.0,30.0,46.15,50.0,12,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Credit_amount', 'Duration', 'Age', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Present_residence_since', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Other_installment_plans_none', 'Other_installment_plans_stores', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property'] imputed",gbt_perf,German Credit,Scenario 1: standard,2024,f1 score
97,60,0,140,0,30.0,100.0,0.0,30.0,46.15,50.0,13,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Credit_amount', 'Duration', 'Age', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Present_residence_since', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Other_installment_plans_none', 'Other_installment_plans_stores', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Installment_rate_in_percentage_of_disposable_income'] imputed",gbt_perf,German Credit,Scenario 1: standard,2024,f1 score
98,60,0,140,0,30.0,100.0,0.0,30.0,46.15,50.0,14,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Credit_amount', 'Duration', 'Age', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Present_residence_since', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Other_installment_plans_none', 'Other_installment_plans_stores', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Installment_rate_in_percentage_of_disposable_income', 'Housing_own', 'Housing_rent'] imputed",gbt_perf,German Credit,Scenario 1: standard,2024,f1 score
